Name,Market Cap (GBP$ Billion)
JPMorgan Chase,286.16368800000004
Industrial and Commercial Bank of China,252.69664799999998
Bank of America,238.142292
Wells Fargo,225.46551599999998
China Construction Bank,188.416068
HSBC Holdings PLC,160.50564
Agricultural Bank of China,148.774608
Citigroup Inc.,148.71678
Bank of China,132.835308
China Merchants Bank,89.754912
Royal Bank of Canada,89.716848
Banco Santander,84.689472
Commonwealth Bank,82.150164
Mitsubishi UFJ Financial Group,81.73512
Toronto-Dominion Bank,79.38466799999999
BNP Paribas,75.584856
Goldman Sachs,73.71606
Sberbank of Russia,73.08288
Morgan Stanley,72.944532
U.S. Bancorp,69.21645600000001
HDFC Bank,64.73442
Itaú Unibanco,63.100596
Westpac,61.89792
Scotiabank,57.789204
ING Group,57.76944
UBS,55.252824
Charles Schwab,54.354659999999996
PNC Financial Services,52.884071999999996
Lloyds Banking Group,52.157196
Sumitomo Mitsui Financial Group,49.284096
Bank of Communications,49.101096
Australia and New Zealand Banking Group,48.63993599999999
Banco Bradesco,47.445312
National Australia Bank,46.697207999999996
Intesa Sanpaolo,45.407424
Banco Bilbao Vizcaya Argentaria,44.416295999999996
Japan Post Bank,44.3043
The Bank of New York Mellon,43.790436
Shanghai Pudong Development Bank,43.038672
Industrial Bank (China),42.008016
Bank of China (Hong Kong),40.588668
Bank of Montreal,38.928492
Crédit Agricole,38.167212
DBS Bank,37.6797
Nordea,37.467420000000004
Capital One,37.410323999999996
NatWest Group,36.95868
Mizuho Financial Group,36.613176
Credit Suisse,35.474184
Postal Savings Bank of China,35.097936
China Minsheng Bank,35.078172
UniCredit,34.972764
China CITIC Bank,34.734132
Hang Seng Bank,33.797171999999996
Société Générale,33.709332
Barclays,33.5622
Canadian Imperial Bank of Commerce,31.874207999999996
Bank Central Asia,31.727808
Truist Financial,30.687636
Oversea-Chinese Banking Corp,30.276984000000002
State Bank of India,29.691384
State Street,29.110908
Deutsche Bank,28.291068
KBC Bank,28.104408
Danske Bank,27.979236
Ping An Bank,27.810876
Standard Chartered,27.317508
United Overseas Bank,25.713696
QNB Group,24.565920000000002
Bank Rakyat,24.215292
Banco Bilbao Vizcaya Argentaria,44.416295999999996
Japan Post Bank,44.3043
The Bank of New York Mellon,43.790436
Shanghai Pudong Development Bank,43.038672
Industrial Bank (China),42.008016
Bank of China (Hong Kong),40.588668
Bank of Montreal,38.928492
Crédit Agricole,38.167212
DBS Bank,37.6797
Nordea,37.467420000000004
Capital One,37.410323999999996
NatWest Group,36.95868
Mizuho Financial Group,36.613176
Credit Suisse,35.474184
Postal Savings Bank of China,35.097936
China Minsheng Bank,35.078172
UniCredit,34.972764
China CITIC Bank,34.734132
Hang Seng Bank,33.797171999999996
Société Générale,33.709332
Barclays,33.5622
Canadian Imperial Bank of Commerce,31.874207999999996
Bank Central Asia,31.727808
Truist Financial,30.687636
Oversea-Chinese Banking Corp,30.276984000000002
State Bank of India,29.691384
State Street,29.110908
Deutsche Bank,28.291068
KBC Bank,28.104408
Danske Bank,27.979236
Ping An Bank,27.810876
Standard Chartered,27.317508
United Overseas Bank,25.713696
QNB Group,24.565920000000002
Bank Rakyat,24.215292
